name,city,tagline,description,word_count,char_count
culturebooster,Austin,Using crowdfunding to teach,"culturebooster's innovative business education program educates students AND raises money for school and community projects. culturebooster brings the excitement of real-world, project-based learning to life in 4th-12 grade classrooms, student clubs and youth development ...",4,27
"EZPay, Inc.",Austin,Leveraging digital currencies to revolutionize international remittances and payments,self service channels in combination with digital ...,9,85
sonarDesign,Austin,We're reimagining Adobe Flash for the Modern Web,"The Sonar platform enables anyone with a modern browser to create, share, promote, monetize, and analyze interactive experiences on any device with a modern browser.",8,48
BullTiger Productions,Austin,Choose your own adventure MMO,"Splinters of Ares incorporates existing technology to create an online world that responds to decisions a character makes, making it the first Choose Your Own Adventure MMO.  By creating a world that adapts to its players, there is no limit to the playability of ...",5,29
Zilker Brewing Company,Austin,American Belgo Craft Brewery,"Zilker Brewing Company specializes in producing American-Belgo style beers.  This style of beer bridges the gap between innovative American style beers and traditional Belgian ales.  Up until now, this style of beer has been considered a sub-style of beer grouped ...",4,28
Querium,Austin,Rosetta Stone for math and science,"Smart, mobile, personalized learning solution will help 24M students master math and science to achieve their career goals. Our patent-pending A.I. technology tutors using just-in-time lessons aligned to students planned careers, available 24x7 on smartphones. ...",6,34
Peepsqueeze Inc.,Austin,Group Video Communicator  (combo of Youtube & Evite),"We are the next generation of social video.  We provide users with a fun and easy app to assemble a video montage of their friends, with their friends, wherever they are. Our app combines multiple videos, from multiple sources, into 1 downloadable video. However, ...",8,52
FantasyHub,Austin,Daily Fantasy Sports for Charity,"Toms of Fantasy sports. Fantasy sports are simulation of you being the owner/coach of your own professional team. You pick a team of real life players and your team gets points based off the real-life performance from the players you chose. No, this ...",5,32
Paybook,Austin,"Personal, Social and Business Automated Finances, Good bye manual entry.","l, Social and Business Automated Finances, Good bye manual entry.",10,72
Gritness,Austin,Search engine for group fitness,"Gritness is a search engine for group fitness aiming to centralize all pre-activity information so that users can easily find a way to stay fit and business can be found by new customers. Our goal is to be the engine providing actionable data to websites, mobile ...",5,31
Ladar,Austin,P2P Bitcoin transaction discovery,"The means by which bitcoins can currently be acquired are complex, rigid, and exclusionary. Most people can no longer generate bitcoins themselves because the costs are simply too high. Centralized Bitcoin exchanges force users to link their bank accounts and divulge ...",4,33
MyBiz Central,Austin,Information Management and Analytics for Small Businesses,"MyBiz Central provides web based information management and analytics for small businesses in the salon, spa, and retail industry. We connect to their point of sale system and help our customers monitor operations through an easy to use web portal.",7,57
EMuse Creative/Social Lube,Austin,Facebook meets Groupon on legs,"Social Lube will power an infinite number of smartphone (iPhone and Android) applications, which will all use augmented reality. This technology does not rely on RFID, facial recognition, or any tech that has yet been seen. Social Lube will  help users make real-life ...",5,30
Barkr,Austin,"""Barks"" out deals as you walk/drive by","Like Groupon, Barkr is an advertising platform for discounted deals from retailers. Unlike daily deals, Barkr reaches customers via a free app that “barks” when they walk or drive by a deal's location. Local businesses self-enter great deals into the easy-to-use ...",7,38
WeTique,Austin,Your weighted social graph to find better things faster,WeTique is the only way to treat friendships online like you do in the real world. Our users rate friends to get better recommendations and filter out the irrelevant. Combining a weighted social graph with a powerful recommendation system solves the information ...,9,55
Vinveli,Austin,Drone Cloud | Drone Dial,"Background
Dynamic. Swift. Versatile. Drones are quickly being adopted around the globe for a variety of applications from agriculture to defense. Yet, the final hurdle for this disruptive technology is the lack of a strong infrastructure upon which to flourish ...",5,24
Bee Cave Games,Austin,Online Casino Games,"Bee Cave Games is dedicated to entertaining the world with the best casino games on socially connected platforms. Based in Austin, Bee Cave Games was founded in 2012 by industry veterans experienced in the development and publishing of social games for web, Facebook, ...",3,19
Multimorphic,Austin,High-tech modular pinball platform merged with video game interactions,layfield is modular so that the physical ...,9,70
icanmakeitbetter,Austin,social innovation and market research made simple,...,7,49
Jellifi,Austin,Organizing Events Easier,"jobs that you need and we send it out to all the matching service providers in your area. 
2. Service providers ...",3,24
Young Potential Development LLC - YPD,Austin,"We turn ""yestbutters"" into ""whynotters"" changing the world through education.",out helping our children discover their talents and develop their potential. It’s about offering ...,10,77
G2Link,Austin,Monitoring your business eco-system,"At G2Link we’ve created a crowd sourced trust and reputation engine for businesses to monitor their relationships. We are an alternative tool in the business credit space, that allows companies to get yellow flags in the present instead of red flags that are 30 ...",4,35
Skillow,Austin,Community Marketplace of Knowledge and Skills,"Skillow is the best resource for entrepreneurs. Collect helpful videos, articles, and images on your personal board, and share them with others. We will soon be providing our community with access to the best mentors available and online classes.",6,45
Fit Steady,Austin,We deliver activities that make your office a wonderful place to work.,etplace for wellness professionals and corporations.,12,70
BOOTLEG MARKET,Austin,"A beautiful shoe marketplace, global P-to-P...","The global peer-to-peer shoe marketplace: e-commerce, social, news. Get your shoe fix here, globally.",6,46
KUTOA,Austin,Health Food & Social Enterprise,", we've consciously handcrafted delicious health bars that not only allow you to live well, but also empower change around the world. ...",5,31
TEKVOX,Austin,Enterprise IT for A/V,"TEKVOX is fundamentally changing the Total Cost of acquiring, operating and supporting the large constellations of complex audio/visual equipment essential to modern teaching, meeting and collaboration spaces.   TEKVOX unites Internet-of-Things technology with ...",4,21
FlickFire,Austin,LinkedIn for the Indie Film Industry,"FlickFire is a networking and portfolio tool for film industry talent. We provide creative people within the film industry a free platform for sharing their films, demo reels, graphics, images, and other media. FlickFire also adds social networking tools to help ...",6,36
SlideHealth,Austin,Telemedicine Simplified,SlideHealth is a service that allows physicians to easily integrate telemedicine into their existing practice instantly. Our free platform gives physicians the ability to see patients online at anytime from anywhere. SlideHealth takes the pain out of implementing ...,2,23
Ticketbud,Austin,Online event registration and ticketing. Unprecedented flexible pricing and event pages.,akes care of everything ticketing related so you can focus on the more important stuff like actually planning your event,11,88
Shiftt,Austin,The configurator for the automotive aftermarket.,"Shiftt is a platform that allows users to visualize in 3D, with 1:1 accuracy, how their vehicle will look when modified with any number of parts from the automotive aftermarket.  To achieve this accuracy, we work with an aftermarket company's engineering files, ...",6,48
PetParent,Austin,Our mission is to help PetParents experience life with their pets.,"At PetParent, we know that your pet is a huge part of your love and your life. Our mission is to help you become a better PetParent and to experience life with your pet. Visit petparent.me for local guides on the top pet friendly spots in your city and for helpful ...",11,66
PeopleFlow,Austin,HR as a Weapon,"PeopleFlow is a data refinery and collaboration suite built for People Analytics - people data has never been this accessible, focused or useful. PeopleFlow's purpose is to help organizations create advantages through people.  HR SVPs get modern technology, data ...",4,14
LitRagger,Austin,Zinio for Literary Journals,can sign up for LitRagger to easily ...,4,27
HapBack,Austin,Event sponsorship marketplace,HapBack is an online marketplace for event sponsorships.  Event organizers can use our site to create and manage their events and associated sponsorship packages (we call them Haps).  Sponsors can then use our site to purchase those Haps or make counter offers. ...,3,29
Demand Food,Austin,Healthy meals delivered instantly,"al from any iPhone, Android, or browser. Within minutes, your meal(s) will arrive curbside. Menu updates daily and the price always stays the same - $10 for meal, delivery, ...",4,33
peeple,Austin,Caller ID for your home,,5,23
Waiting Room,Austin,Startlingly Simple Tablet Forms,Waiting Room is a frictionless replacement for waiting room documents. WR displaces the traditional clipboard and it's forms with an app.,4,31
MottoMobile,Austin,Enabling engagement through simplifed app development,"sh this we have developed platforms that, under a SasS model, provide a fast and cost efficient way for any business, group ...",6,53
Crowdflair,Austin,An online influencer platform. Connecting Klout's top influencers with brands.,We work with brands to create traffic and brand loyalty engagement with social influencers with a Klout score of 50 and above. Influencers are then rewards with special brand perks and VIP access from brands.,10,78
Hotlease,Austin,Portal site for LEASING anything on the web.,"Hotlease.Com is a lead generator for leasing and rental companies from all categories combined onto one site, cultivating a wealth of lease content and forming the ultimate lease marketplace.  Hotlease is the only aggregator of lease providers of NEW items on the ...",8,44
Dealuv,Austin,Social media viral marketing platform,"nsight (performance, demographics, key influencers, early adopters, ...",5,37
Mentegram,Austin,Patient engagement for mental and behavioral health,"Therapy is effective only after a client has been diagnosed and has received and completed post-session and treatment support. Current therapeutic practices miss opportunities to accelerate client stability, confirm clinical diagnosis, improve outcomes and reduce ...",7,51
AskU,Austin,Quora for universities,fective way to answer new questions in life is to connect with people who have answered the same questions. We’ve ...,3,22
Vichara Health,Austin,Finding and Preventing Medical Errors,"305,000 people will die this year from medical errors with a cost of over $17 Billion. Most hospitals only catch 10%-20% of their errors. The tools best suited to finding and preventing errors are not used because they are too labor intensive for most hospitals ...",5,37
RxWiki,Austin,The Digital Pharmacist Social Media-as-a-Service and customized mobile apps,"RxWiki, Inc. is an innovative media company that publishes the largest digital medication encyclopedia, deploys eHealth applications and powers digital Medication Therapy Management (dMTM™) services. Our strategic goal is to publish a world-class medication encyclopedia ...",9,75
Foodsitter,Austin,Affordable in-home cooking for busy families.,"Tired of takeout but don't have time to cook? Foodsitter is a website that lets busy families book a chefs who will make a personalized menu and grocery list, then come over to cook and clean up.",6,45
AgileBid,Austin,Better PPC bid management,"AgileBid is a PPC mangement service designed for small and medium business that eliminates most of the ongoing work of managing a PPC campaign, including adjusting bids for placement or return and testing new keywords. 
AgileBid is also the only service to track ...",4,25
TwitrPix,Austin,Instant media sharing,"TwitrPix lets you discover and instantly share media by email, mobile phone, desktop browser addons, the web and your webcam.  http://twitrpix.com",3,21
"Netero, Inc.",Austin,Remittances without cash or fees,Netero is the free international money transfer service that allows its customers to send *store credit* or *phone credit* to their loved ones at any retailer or mobile phone service provider in our international partner network.  Our customers can now give their ...,5,32
L Style G Style,Austin,People Magazine for gays & lesbians,"To remove stereotypes and be the authoritative forum for profiling lesbian, gay and straight allies in a positive light. To market and promote the entire LGBT community and bring awareness to the straight community that lesbian and gay individuals are no different ...",6,35
VoiZapp,Austin,Apps that let you listen and talk back to your social networks,"VoiZapp builds & sells a line of iPhone apps that read aloud your friends’ news & lets you dictate your responses via automated Siri-like speech recognition. Using state-of-the-art TTS and ASR, you can listen hands-free to everything your friends are saying and ...",12,62
Lab7 Systems,Austin,Enterprise software for genome sequencing,"The Lab7 Enterprise Sequencing Platform (ESP) takes a novel approach to streamline genomic sequencing data
management and analysis; accelerating scientific discovery, clinical diagnosis, and treatment. Unlike other narrowly-focused software tools (e.g. Genologics, ...",5,41
General Governance,Austin,The First Hong Kong Type Development Zone in the United States,"works to partner together Indian Nations, local governments, ...",11,62
RightGift,Austin,Pinterest for Gift Giving,"RightGift.com simplifies gift giving by using the recipient's known preferences, with a focus on major life events.  Users create a free account that immediately enables them to share their perfect gift list of items from any store. Additionally, users can create ...",4,25
uryaen,Austin,High Class Tech Evaluation Site,"uryaen.com is a unique new tech/media/photography review site, centered on a 100% ad-less, integrity based system of reviewing not only products but the companies behind the products. Thus far, I have full hardware/software support from a number of vendors, including ...",5,31
Feel Rich,Austin,Turning Hip Hop Artists into the new Jane Fondas!,"Inc is the leading multicultural producer and marketer of health and fitness media, products, ...",9,49
HeroBureau!,Austin,Social And Crowd Market Commerce Platform for Leading Athletes/Newsmakers,"HeroBureau! is an online labor and intellectual property platform (crowd source + social platform strategy) that lets athletes, entertainers, celebrities, agents and other influencers with large loyal followings quickly offer and promote their own services such ...",9,73
tripgather,Austin,local meetups for travelers,tripgather makes it easy to find and enjoy local travel experiences!,4,27
Lodestone Social Media,Austin,Lodestone Converts Crowds into Commerce,"Lodestone Social Media provides a SaaS social rewards platform that inspires consumers of brands to share content. Our platform allows fans to earn points for participation with each brand's social media networks, purchasing product, mobile apps & more. Fans can ...",5,39
Spout Software,Austin,Real time cloud collaboration and recording solution for the working musician,Spout Software is an online recording tool for the music and entertainment industries. It is browser-based and leverages the scalability and efficiency of cloud storage in order to bring a real time recording and collaboration experience. Spout provides an easy-to-use ...,11,77
Homenity,Austin,Renovations. Simplified.,nding you to a list of contractors ...,2,24
Lazydaze Counterculture,Austin,The Macy's of Smokeshops,.,4,24
PitchDeals,Austin,Use your social power to get deals at restaurant you already love or really want to try.,"PitchDeals is an exciting service that lets customers pitch deals to their favorite restaurants. Bring bargaining online, get your friends in on it, and get rewarded!",17,88
Common,Austin,A blogging service to share your favorite things through the format of a personal notebook,blogging service that allows you to share your favorite things through the format of a personal ...,15,90
makexyz,Austin,A 3D printing marketplace,makexyz links people who need something made with 3D printers in their neighborhoods.,4,25
EarthBenign,Austin,A free bank account for collaborative consumers,"EarthBenign gives a free benign bank account to folks who connect with each other.  By ""benign"" we mean no hidden fees, no minimum balance requirements.  Folks transact with each other on an individual or business level with an added level of trust they enjoy because ...",7,47
mowgoo,Austin,let's make it happen,"mowgoo is a cross-platform (iOS, Android) mobile app that is seeking to revolutionize how you plan and discover events.",4,20
CoachTube,Austin,The marketplace for Sports Education,"CoachTube give's every athlete in the world access to the instructions, knowledge, and motivation they need to grow and progress as athletes. We do this by providing access to online training from the world’s best coaches. These lessons are available on-demand, ...",5,36
HelpAttack!,Austin,Donate with social media,"HelpAttack! is a platform for supporting causes with social media.  Individuals, cause marketers, or companies can pledge micro-donations for each Tweet, Facebook, #hashtag, or blog post.  This benefits the cause by raising money and awareness.  It's a great way ...",4,24
BlueHub Health,Austin,dropbox efficiency for health record movement,"myBlueHub is a secure health record tool that makes the flow of information efficient and electronic to ease the pain of our users. It helps patients collect, manage and share their health information and helps providers manage the cumbersome request for information ...",6,45
how do you roll?  creative asian kitchen,Austin,Sushi Inspired Cuisine,"We franchise our fast casual concept across the world.  We are out to make the world better, one stomach at a time with our sushi inspired cuisine! We offer creative foods that will wow your taste buds.  Not seeing exactly what you want?  We Don’t Judge!  Personalize ...",3,22
Wiki-PR,Austin,"We consult on, monitor, and translate Wikipedia pages for businesses and notable people.","Our mission is to present our clients factually. We manage the online reputations of 2,000+ clients in 35 countries. Our clients include Fortune 100 and 500 companies, CEOs, politicians, and celebrities.",13,88
Advanced Hydro,Austin,"Wastewater Treatment for Reuse in Oil and Gas, Industrial and Municipal",coatings for reduced membrane fouling when processing oil and organics ...,11,71
GroupWink,Austin,Location-based Group Dating (match.com),"s a social, location-based way for groups of friends to connect and meet new people. By identifying entire groups of friends instead ...",4,39
GetPromotd,Austin,Automated Event Promotion,"We're Wildfire for events. GetPromotd makes it easy to create, automate, and analyze marketing campaigns that increase attendance to your play, conference, or course.",3,25
MightyBark,Austin,Match.com for dog owners,"We just released our Alpha dating platform for dog owners in Austin, Texas. The key to our success is our targeted distribution plan with individual city launches starting in Austin - with 469,000+ single dog owners - in order to build a strong, established base ...",4,24
DreamFunded of Texas,Austin,Equity Crowdfunding for everyone in Texas,is the only equity based platform that delivers top quality deals with completed due diligence ...,6,41
StackEngine,Austin,Automated application orchestration,"We believe that applications are getting more complex, more diverse, and require the ability to scale while still being resilient.  These applications are being built by developers at break-neck pace, but as their applications grow and need to be resilient, they ...",3,35
Orby,Austin,Personalized recommendations from your friends and locals,broadcast a message via an “orb” to friends and nearby locals detailing the exact product/service they are ...,7,57
HomeFree America,Austin,Your home can pay for itself,g at HomeFreeAmerica.co,6,28
FIT 2 CHEER,Austin,PoundPoms (weighted cheer poms) used for new fitness workout & cheer conditioning camps,"Recognizing the synergies between cheer motions & free weight training, FIT 2 CHEER, a company specializing in the fusion of two global industries: FITNESS & CHEER LEADING, invented PoundPoms (weighted cheer pom poms) created a new workout (CHEER CAMP) and formed ...",13,87
Let's Do X Technologies,Austin,Mobile location-based negotiating agent,"LetsDoX is a cloud-based service and mobile app designed for service providers and their customers to communicate in the smart phone era.  Our clustered, cloud platform was designed for servicing B2C collaborative mobile applications. The product has 4+ years of ...",4,39
Exponchal,Austin,crowdfunding business loans,Exponchal helps individual investors build a  portfolio of loans a few hundred dollars at time by matching them with qualified small businesses interested in non-traditional financing for their companies.,3,27
Top Tier Rides,Austin,Uber for Luxury Transportation,"Top Tier Rides is a brokerage platform for the luxury transportation space. We offer customers a better sales experience and help transportation companies fill their excess capacity. 
Our bread and butter is providing great customer service but we're differentiating ...",4,30
Buy From Farm,Austin,Buy and sell produce at farmers' markets and around you,"Buy From Farm is an e-commerce produce marketplace mobile app with the goal to help customers discover, reserve and purchase produce offered by farmers' markets, and help farmers' market and vendors attract more customers and sell more produce. Vendors use our ...",10,55
Nadine West,Austin,Trunk Club for the Forever 21 Crowd,"o fees to sign up, no monthly fees, and shipping is free both ways, so there's no risk to sign-up.  Customers receive an outfit each month ...",7,35
Quantified Communications,Austin,Applying Data Science to Communications,"Quantified Communications is the first firm to scientifically quantify how effective you are when you talk. 
 
Using big data analytics, we take your content, your speech patterns, your facial and body movements, analyze them and provide quantitative feedback on ...",5,39
DRAFT,Austin,Data Driven Investment Analysis,DRAFT is a new online portfolio management company that redefines how average investors access and allocate their investment accounts. Through a new proprietary platform using aggregation and crowd sourced technologies DRAFT provides investors the education and ...,4,31
TradeStone QA,Austin,"Quality Assurance & Regulatory consulting for CROs, IRBs, device and drug companies","Provide BIMO Quality Assurance & Regulatory consulting for CROs, IRBs, Drug, and Device companies conducting IND,NDA, 510K, IDE, PMA clinical trials. Conduct mock FDA GCP clinical site audits, vendor qualification, data-management systems audits and medical device ...",12,83
Bat Bridge Interactive,Austin,Fantasy sports for the everyday sports fan,antasy Baseball ...,7,42
Global Communication Leader Inc.,Austin,Global Press Releases for Small Businesses,thly subscription fee allows for the global distribution of an unlimited number of press ...,6,42
FitRankings,Austin,Ranking Companies and Individuals on Fitness,"is the authority for the fitness rankings of companies and individuals. FR breaks all fitness activity down into one metric recognized by the CDC, using real-time data from over 100 wearables ...",6,44
UpgradeUSA,Austin,Online Payment Plans for Today's Technology,rs: 40% of the US Consumer market has credit ...,6,43
VoterTrove,Austin,CRM and Analytics for Campaigns and Lobbying.,"mpaign data stored in one place, the platform then enables the campaign to target and contact voters through ...",7,45
Perkly,Austin,Foursquare-like Affiliate Marketing,Perkly code to get a free sleeve of golf balls for his outing. We share this ...,3,35
Itography,Austin,Advertise on mobile devices using a virtual item collection game. Foursquare for products.,"Putting items on the map. Itography bridges the gap between virtual and real worlds by connecting people, products and places using a virtual item collection platform. Through item collections, advertisers have the opportunity to market products to a mobile audience ...",13,90
Greenhouse Investment Fund LP,Austin,Seed capital for startups and high growth companies,Seed stage investments,8,51
Spring.net,Austin,entrepreneurs pitch investors in G+ hangouts,"The customers are entrepreneurs with pitches and angels, funders and venturers looking for projects.  The pitches utilitize Google Plus hangouts.",6,44
Technium,Austin,Where R&D Connects and Creates,"It all starts with a motivated and engaged researcher. When a researcher gets invited into the network, they will first get their Technium Profile. A place to showcase all their R&D for visibility and feedback. Our research has shown that this is the main complaint ...",5,30
Refynr,Austin,Custom social media dashboards for Events,n Dashboards for plasmas/monitors/projections ...,6,41
LeedSeed,Austin,Enterprise Marketing Automation Software Firm,ise Marketing Automation Software Firm,5,45
Nodify Inc.,Austin,"Capture events completely, from every angle, with zero-coordination, for free.","Capture an event from every perspective with zero prior-coordination.  Nodify lets us revisit the past with unprecedented clarity by creating a ""central hub"" for all types of content from an event and making it super-easy to contribute, navigate and enjoy that ...",10,78
misePOS,Austin,Extremely low cost cloud and tablet restaurant POS system and restaurant IT solution,"misePOS is a Point of Sale system designed for the next generation of bars and restaurants, offering better POS functionality and integrated Front and Back of House management solutions at a fraction of the price of competing systems. Our complete tablet-based ...",13,84
Shango,Austin,Smart Mobile Phone Numbers,"Shango Unify provides operators the capability of empowering their subscribers to link 3rd party services directly to their existing telephone number. Unlike other platform approaches which focus on developers building services directly to the operator APIs, Shango ...",4,26
LawThru,Austin,Collaborative case management.,Project management and collaborative cloud software for general counsel and corporate matters.,3,30
Xyber Technologies,Austin,Server cooling with no moving parts and no power,e all unnecessary moving parts and cooling systems through the innovative use of heat pipe and heat sink systems for passive ...,9,48
Tech Hustlers,Austin,True Tech Hustler Stories,"Ever wonder what it’s like being a startup tech founder? Think it’s just a get-rich-quick gig? Tech Hustlers brings you the truth about it all. We give you an inside look at uncut, unedited, real-life stories from some of the top and up-and-coming tech founders ...",4,25
Amped Asia,Austin,Asian Online Maxim-style Magazine,Amped Asia is one of the leading Asian-related entertainment hubs on the Internet. We are focused on bringing the latest content related to Asian media and providing a community for like-minded individuals to discuss anything and everything related to Asian entertainment. ...,4,33
Bigwig Games,Austin,realistic business simulation games for iPad,"While enthusiasm for business and entrepreneurship worldwide is at an all time high, and tablets are becoming pervasive, no game company has really  tried to develop realistic games about different industries that simultaneously entertain and inform.
Gary Hoover, ...",6,44
Political FORCE,Austin,Salesforce.com for political campaigns,Political FORCE helps campaigns win elections. Our 182 million person database and simple UI are accessible for just $85 a month.  Over 3 million US campaigns each election cycle can leverage our web tools and data infrastructure to communicate with voters in the ...,4,38
Altruus,Austin,We help businesses up their social media presence,"Altrüus is a way of connecting businesses with new, full-price-paying, loyal customers at an effective and affordable rate. We help businesses communicate with qualified prospects through their hyperlocal networks. Whenever a customer wants to make a purchase at ...",8,49
YETI Coolers,Austin,"Simply put, the best coolers available. Wildly stronger! Keep ice longer!","put, the best coolers available. Wildly stronger! Keep ice longer!",11,73
AIRSHP,Austin,design/web/branding/,AIRSHP can deliver a singular vision of your brand...Inspired. Beautiful. Intuitive. Effective.,1,20
StormPins,Austin,Crowdsourcing Breaking News and Weather,StormPins is changing the way cities communicate during severe weather and breaking news. Instead of just reporting events we link the entire city on one social platform to help the city agencies respond and recover. Stormpins a crowdsourcing breaking news app ...,5,39
Trunkist,Austin,Empowering Independent Fashion Designers.  Teespring for Fashion.,s infrastructure ...,7,65
Help.com,Austin,Customer service software that scales,Our team of customer service and technology experts is setting out to build the next generation of customer service software. Our goal is to give companies the tools they need to delight their customers at enterprise scale.,5,37
Real HQ,Austin,We build things that make buying and selling homes better.,d things that make buying and selling homes better.,10,58
Servuss,Austin,Google Calendar for Students,"Servuss provides an online suite of tools designed to assist students in managing their academic lives. The three areas of a student’s life we will focus on are scheduling, note-taking, and grade management.",4,28
Brew Cupid Coffee Co.,Austin,"Premium coffee, straight to your door","Brew Cupid is dedicated to bringing good coffee to good people. With Brew Cupid you will save time and money! Instead of going to the store and waiting in line, we deliver your favorite premium coffee beans straight to your doorstep. You'll love our selection of ...",6,37
Deohako,Austin,iPad Case and Mounting System,"Deohako is a tablet case and mounting system that easily allows you to suction your tablet to the windshield as a GPS, mount it to the wall while charging, and transform your tablet into a specialty camera, and an infinite number of other tasks. Utilizing the hardware ...",5,29
MedicSana.com,Austin,Remittance Sending and Saving for Healthcare,Latin American immigrants living in the United States sent 62.8 billion dollars to family members in their home countries - with half citing medicine and healthcare as the ...,6,44
CDE,Austin,Moneyball for road and highway construction,e economic modeling allows governments' ...,6,43
PurpleSight,Austin,A new way to look at politics,"PurpleSight provides insights into political news, enabling stakeholders to read news with a better and broader perspective.",7,29
FLAVORgate,Austin,Mapping the world's tastebuds,FLAVORgate is an intelligent web platform and app that learns user’s individual Flavorprint and introduces users to products they’ll prefer based on flavor and activities.  We are a flavor focused social technology designed for all users alike – from the overwhelmed ...,4,29
Everfest,Austin,Community of the world’s festivals and the people who love them,"ght festivals of Amsterdam to dancing late night under the stars at Burning Man, Everfest is place to discover ...",11,63
LessonUp,Austin,Khan Academy Souped Up for Music,"LessonUp is creating the perfect music book. All the songs you'd ever want to learn, with high-quality performance and lesson videos that can be slowed down, looped, and have chapter markers. Plus sheet music for every song in both traditional, and Hummingbird ...",6,32
Health Information Associates,Austin,Healthcare Predictive Analytics and IT,Health Information Associates helps physicians and patients improve healthcare outcomes while lowering costs by using predictive modeling software that provides a risk profile and benefit profile as well. We also provide technical implementation services to healthcare ...,5,38
ArtHaus,Austin,"ARTS, CULTURE, and EVENTS SVOD DESTINATION",a Lifestyle portal for the discerning consumer who loathes reality TV and  wants to access intelligent and engaging ...,6,42
Academiacs,Austin,Making Studies Social,"Academiacs provides the social learning dimension to distance learning.  It is an open online knowledge exchange and marketplace that brings students, tutors, information, and study tools together, for improving the educational experience of the distance learner. ...",3,21
Noti-Fi™,Austin,Noti-Fi is a social Wi-Fi managed advertising network.,"Noti-Fi's mission is to help businesses extend and turn their provided free Wi-Fi service into an exclusive, managed, behavioral driven advertising mesh network empowered by: multi-media content (video and banner ads) delivered to any mobile device. Integrated ...",8,54
Circular Energy,Austin,Circular Energy is focused on energy management software and solar design and installation,"Circular Energy is a rapidly growing and highly innovative clean tech company with a primary focus in 3 lines of business (energy curtailment software, pv design solutions for architects, and solar installation for residential and commercial clients).",13,90
"BrightLocker, Inc.",Austin,The game of making games.,"""The Game of Making Games""
BrightLocker is a crowd-supported developer and publisher of online video games. We bring the excitement of an interactive game-development experience to the gamer crowd with a proprietary platform that makes it both rewarding and fun ...",5,25
Peach,Austin,Lyft for Farmers Market,Peach is an app for bringing Buyers and Sellers together for smarter local sourcing and easier order management. We are a business to business service focused on the organic/local/small business food market that links commercial Buyers and Sellers. Commercial Buyers ...,4,23
PipCoin,Austin,Everyone needs a tipjar,"PipCoin is social giving app that lets people give (and get) a coffee, beer, treat, smile, compliment or anything else that comes to mind — simply make a coin and drop it in a jar. PipCoin aims to create a community focused on giving where people reward friends, ...",4,23
FoTacts,Austin,Meet. Connect. Compete.,End to end mobile meeting app.,3,23
Dezzie Dough,Austin,Fresh baking made simple,"Dezzie Dough is a line of frozen muffin, pancake, and waffle batter packaged in a proprietary spout pouch.  The packaging provides the modern consumer with a fast and simple ""thaw, squeeze, and bake"" experience - no more mixing and mess when baking at home.  Dezzie ...",4,24
DARKNICER - A Major Motion Picture,Austin,Exciting sci-fi thriller; Dysfunctional family bands together to survive a creature attack,"A sci-fi/thriller about a dysfunctional family who live on a ranch in TX. After a series of mysterious and disturbing events they discover they are being terrorized by a creature in their woods. The story deals with different conspiracies like Bigfoot, aliens, ...",12,90
Audiotoniq,Austin,Digital Hearing Aid controlled by smartphone app,ogy eleminates the ...,7,48
TaskTrak,Austin,Lean construction productivity without the spreadsheets.,ms to increase the construction worker's productivity ...,6,56
Pushmote,Austin,Parse.com for iBeacons. Most advanced interaction management platform.,"Today Parse.com for iBeacons, tomorrow Amazon AWS for Internet of Things.
To implement and use iBeacons, a cloud service required to easily manage what will happen when your users approach to your iBeacons. Pushmote provides it. Pushmote allows developers to manage ...",8,70
Prista,Austin,clinical operations metrics for hospitals,ActionCue(r) Clinical Intelligence - Integrates all types of operations/quality data into a single consistent engine for presentation and analysis; frees typical hospital managers from hours of manual data collection and manipulation; elevates all of that to comprehensive ...,5,41
Tech Hustlers,Austin,Tech Hustler Interviews,stler Interviews,3,23
Main Street Hub,Austin,Full-service marketing platform for local businesses,"Main Street Hub is the voice for more local businesses than any other company. We offer the only full-service marketing automation and CRM platform that integrates social media, customer reviews, mobile and email marketing to help merchants get more customers and ...",6,52
PageLines,Austin,Tools for professional websites.,"PageLines creates powerful UX/UI design tools for web professionals, you could say we're like Atlassian for Designers. We take complex development out of web design and empower designers to focus on what they do best. Our flagship Design Framework product, DMS, ...",4,32
WhoType,Austin,Platform for Exploring the Power of Personality (TM). Think Match.com meets LinkedIn.,the first social platform for exploring personality patterns and the unique motivations that connect our most important personal and professional relationships. WhoType helps ...,12,85
TapSavvy,Austin,Tablet-based feedback solution for restaurants,TapSavvy TableTalk lets table-service restaurants receive feedback from their customers while they're still at the table. A tablet gets dropped off at the end of the meal with the check so that guests can discretely submit feedback straight to the management. Managers ...,5,46
transapi.io,Austin,Transactional Email Templates: Marketing makes updates without waiting on development.,"ur transactional email templates (welcome, email confirm, changed password, etc) and allow your marketing person access to edit the templates without messing ...",10,86
FrameBuzz,Austin,Better online video commenting (SoundCloud),"FrameBuzz is a platform for finding new friends, ...",5,43
Plushkies,Austin,Plush toys in the shape of countries that Raise Global Children,"aise Global Children by inspiring values of curiosity, wonder ...",11,63
ZINGwater,Austin,Caffeine Infused Energy Water - RedBull alternative,"ZINGWater is spring water infused with colorless, odorless, and tasteless natural caffeine.  It is a healthy alternative to the numerous energy drinks and caffeinated beverages on the market. One bottle of ZINGWater has the caffeine equivalency of one large cup ...",7,51
