Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
2239,Innovate Industries,Email,Men 18-24,30 days,Facebook,0.13,"$7,275.00",2.72,Houston,English,211,8935,6,Outdoor Adventurers,2021-02-18
2240,DataTech Solutions,Influencer,Men 18-24,30 days,Email,0.15,"$8,135.00",4.26,Houston,German,197,1156,10,Tech Enthusiasts,2021-02-19
2241,NexGen Systems,Email,Women 25-34,60 days,Google Ads,0.07,"$5,199.00",4.97,Miami,German,642,2507,5,Tech Enthusiasts,2021-02-20
2242,TechCorp,Search,Men 18-24,15 days,Instagram,0.08,"$5,470.00",7.07,Miami,French,969,7544,8,Foodies,2021-02-21
2243,NexGen Systems,Influencer,Men 25-34,45 days,Facebook,0.02,"$10,790.00",6.99,New York,Mandarin,706,2982,2,Tech Enthusiasts,2021-02-22
2244,Innovate Industries,Social Media,All Ages,60 days,YouTube,0.06,"$10,660.00",5.41,Los Angeles,Spanish,778,8797,4,Fashionistas,2021-02-23
2245,Innovate Industries,Social Media,All Ages,60 days,Website,0.13,"$18,131.00",6.57,Miami,German,447,5793,3,Outdoor Adventurers,2021-02-24
2246,NexGen Systems,Influencer,Men 18-24,60 days,Email,0.11,"$9,063.00",5.33,New York,Spanish,596,8945,2,Tech Enthusiasts,2021-02-25
2247,Innovate Industries,Display,Men 18-24,60 days,Email,0.04,"$6,743.00",3.88,Los Angeles,German,598,9529,4,Health & Wellness,2021-02-26
2248,Alpha Innovations,Search,All Ages,30 days,Google Ads,0.09,"$14,294.00",7.19,Chicago,Spanish,170,1248,2,Outdoor Adventurers,2021-02-27
2249,NexGen Systems,Display,All Ages,45 days,Email,0.02,"$12,025.00",4.23,New York,English,110,1464,2,Outdoor Adventurers,2021-02-28
2250,Alpha Innovations,Social Media,Women 25-34,30 days,Email,0.1,"$7,346.00",4.64,New York,Mandarin,869,6506,3,Foodies,2021-03-01
2251,TechCorp,Display,Women 35-44,45 days,YouTube,0.08,"$19,647.00",3.86,Chicago,German,573,5757,8,Health & Wellness,2021-03-02
2252,NexGen Systems,Influencer,Women 35-44,15 days,Email,0.08,"$17,019.00",2.48,Houston,English,701,6685,4,Outdoor Adventurers,2021-03-03
2253,Innovate Industries,Social Media,Women 35-44,30 days,Instagram,0.1,"$17,736.00",5.9,Chicago,French,239,2931,9,Tech Enthusiasts,2021-03-04
2254,Alpha Innovations,Display,Women 35-44,15 days,Facebook,0.03,"$9,165.00",2.51,Los Angeles,English,869,4877,7,Tech Enthusiasts,2021-03-05
2255,Innovate Industries,Social Media,Women 25-34,60 days,YouTube,0.13,"$17,890.00",4.85,New York,Spanish,886,2856,4,Health & Wellness,2021-03-06
2256,Innovate Industries,Email,Women 25-34,30 days,Facebook,0.07,"$13,186.00",5.71,New York,German,748,8395,3,Foodies,2021-03-07
2257,Innovate Industries,Search,Men 18-24,30 days,YouTube,0.11,"$19,844.00",5.02,New York,English,939,8284,8,Tech Enthusiasts,2021-03-08
2258,NexGen Systems,Search,All Ages,30 days,Facebook,0.12,"$15,446.00",2.56,Miami,French,546,5625,5,Fashionistas,2021-03-09
2259,TechCorp,Display,All Ages,15 days,Instagram,0.1,"$8,257.00",7.81,Miami,French,972,5247,8,Fashionistas,2021-03-10
2260,Innovate Industries,Social Media,Women 35-44,60 days,Google Ads,0.08,"$8,175.00",2.73,New York,English,580,3203,4,Fashionistas,2021-03-11
2261,Alpha Innovations,Influencer,Men 18-24,60 days,Website,0.04,"$14,895.00",5.89,Chicago,Mandarin,434,7639,5,Tech Enthusiasts,2021-03-12
2262,TechCorp,Influencer,Women 25-34,60 days,Website,0.06,"$16,370.00",3.97,Miami,English,378,9230,5,Outdoor Adventurers,2021-03-13
2263,Alpha Innovations,Email,Women 35-44,60 days,Email,0.14,"$6,516.00",5.9,Miami,French,275,8703,2,Outdoor Adventurers,2021-03-14
2264,TechCorp,Email,Women 35-44,45 days,YouTube,0.08,"$10,714.00",5.94,New York,German,435,4529,2,Tech Enthusiasts,2021-03-15
2265,Alpha Innovations,Search,Men 18-24,15 days,Email,0.14,"$17,422.00",5.18,Miami,Mandarin,538,2472,10,Foodies,2021-03-16
2266,TechCorp,Influencer,Women 35-44,30 days,Instagram,0.07,"$16,592.00",5.45,New York,Spanish,698,2804,7,Fashionistas,2021-03-17
2267,NexGen Systems,Social Media,Men 25-34,45 days,Google Ads,0.11,"$13,201.00",4.86,Miami,German,622,3026,8,Outdoor Adventurers,2021-03-18
2268,Innovate Industries,Social Media,All Ages,30 days,YouTube,0.05,"$7,668.00",6.71,Houston,German,949,2415,4,Fashionistas,2021-03-19
2269,TechCorp,Influencer,Women 25-34,30 days,Instagram,0.12,"$9,875.00",7.74,Houston,Mandarin,807,8503,1,Outdoor Adventurers,2021-03-20
2270,Innovate Industries,Email,All Ages,15 days,Website,0.03,"$11,342.00",7.88,Miami,English,888,5107,8,Outdoor Adventurers,2021-03-21
2271,DataTech Solutions,Email,Men 18-24,45 days,Google Ads,0.15,"$8,319.00",7.49,Houston,Mandarin,110,1951,9,Health & Wellness,2021-03-22
2272,TechCorp,Email,All Ages,45 days,Google Ads,0.12,"$7,384.00",5.68,Chicago,German,523,1266,5,Health & Wellness,2021-03-23
2273,DataTech Solutions,Display,Men 25-34,30 days,Facebook,0.13,"$18,529.00",6.44,New York,English,477,1083,4,Fashionistas,2021-03-24
2274,Innovate Industries,Email,Men 18-24,30 days,Facebook,0.05,"$19,171.00",7.37,Houston,Mandarin,597,1319,10,Foodies,2021-03-25
2275,DataTech Solutions,Search,Men 25-34,60 days,Instagram,0.1,"$13,545.00",4.44,Houston,English,454,2794,5,Fashionistas,2021-03-26
2276,Innovate Industries,Social Media,Women 25-34,15 days,YouTube,0.01,"$17,071.00",3.97,Miami,Mandarin,318,5255,9,Fashionistas,2021-03-27
2277,Innovate Industries,Search,Women 35-44,60 days,Google Ads,0.02,"$6,555.00",3.27,Miami,French,664,1064,3,Tech Enthusiasts,2021-03-28
2278,DataTech Solutions,Display,Men 18-24,30 days,Instagram,0.11,"$8,078.00",7.16,Los Angeles,Spanish,990,9660,2,Fashionistas,2021-03-29
2279,Alpha Innovations,Influencer,Women 25-34,45 days,YouTube,0.05,"$16,839.00",4.89,Houston,Spanish,713,1044,10,Tech Enthusiasts,2021-03-30
2280,NexGen Systems,Influencer,All Ages,60 days,Facebook,0.11,"$19,512.00",5.17,Houston,Mandarin,386,8986,4,Outdoor Adventurers,2021-03-31
2281,DataTech Solutions,Search,Women 35-44,60 days,Email,0.1,"$18,122.00",4.3,Houston,Mandarin,253,9161,1,Health & Wellness,2021-04-01
2282,NexGen Systems,Email,Women 35-44,15 days,Website,0.1,"$17,790.00",3.83,Chicago,Spanish,1000,5932,7,Tech Enthusiasts,2021-04-02
2283,TechCorp,Social Media,Men 18-24,45 days,Instagram,0.03,"$12,449.00",7.05,Chicago,English,275,1542,3,Health & Wellness,2021-04-03
2284,DataTech Solutions,Social Media,Women 35-44,30 days,Email,0.02,"$13,793.00",3.56,Los Angeles,English,646,5062,10,Fashionistas,2021-04-04
2285,Innovate Industries,Influencer,Women 35-44,30 days,Email,0.12,"$14,690.00",3.72,Los Angeles,Spanish,995,2425,1,Fashionistas,2021-04-05
2286,Innovate Industries,Social Media,Men 18-24,45 days,Email,0.02,"$10,365.00",7.59,Houston,German,907,5326,1,Health & Wellness,2021-04-06
2287,DataTech Solutions,Influencer,Men 18-24,30 days,Facebook,0.1,"$13,600.00",6.58,New York,Mandarin,891,5901,3,Health & Wellness,2021-04-07
2288,Alpha Innovations,Influencer,Men 25-34,60 days,Email,0.1,"$6,652.00",3.35,Miami,Mandarin,955,8367,7,Health & Wellness,2021-04-08
2289,Alpha Innovations,Search,Women 25-34,60 days,Google Ads,0.1,"$14,853.00",6.1,Los Angeles,English,445,2152,5,Tech Enthusiasts,2021-04-09
2290,DataTech Solutions,Social Media,Men 25-34,45 days,Email,0.05,"$8,123.00",5.19,Los Angeles,Spanish,509,2862,8,Health & Wellness,2021-04-10
2291,Innovate Industries,Search,All Ages,15 days,Website,0.09,"$13,778.00",6.95,Los Angeles,French,830,4948,10,Tech Enthusiasts,2021-04-11
2292,Alpha Innovations,Display,Men 25-34,30 days,YouTube,0.14,"$16,489.00",2.32,New York,Mandarin,284,4935,6,Health & Wellness,2021-04-12
2293,Alpha Innovations,Display,Men 18-24,30 days,YouTube,0.1,"$5,127.00",6.36,Houston,French,519,5752,2,Tech Enthusiasts,2021-04-13
2294,TechCorp,Display,Men 25-34,30 days,Email,0.15,"$6,415.00",4.32,Miami,Mandarin,422,5986,2,Outdoor Adventurers,2021-04-14
2295,Innovate Industries,Search,Women 25-34,60 days,Website,0.1,"$11,724.00",7.9,Miami,English,222,4607,10,Fashionistas,2021-04-15
2296,Alpha Innovations,Display,All Ages,30 days,Facebook,0.09,"$19,571.00",3.28,Los Angeles,English,898,3164,7,Fashionistas,2021-04-16
2297,NexGen Systems,Social Media,Men 18-24,30 days,Google Ads,0.09,"$15,837.00",3.53,Miami,French,138,6072,3,Tech Enthusiasts,2021-04-17
2298,NexGen Systems,Search,Men 25-34,15 days,Google Ads,0.08,"$16,633.00",5.11,Chicago,Mandarin,706,2055,1,Foodies,2021-04-18
2299,TechCorp,Search,Men 25-34,30 days,Facebook,0.05,"$14,582.00",5.88,New York,French,576,8364,4,Outdoor Adventurers,2021-04-19
2300,NexGen Systems,Display,Men 18-24,30 days,Facebook,0.15,"$9,150.00",5.21,Los Angeles,German,294,6708,2,Fashionistas,2021-04-20
2301,TechCorp,Social Media,Women 35-44,15 days,Email,0.04,"$13,572.00",2.67,Miami,English,343,1261,7,Fashionistas,2021-04-21
2302,NexGen Systems,Email,Women 35-44,60 days,Email,0.09,"$19,732.00",7.87,New York,German,350,3717,5,Tech Enthusiasts,2021-04-22
2303,TechCorp,Display,All Ages,60 days,Website,0.02,"$8,126.00",2.79,Houston,French,100,9341,3,Health & Wellness,2021-04-23
2304,Alpha Innovations,Display,Women 25-34,60 days,Instagram,0.1,"$17,216.00",5.88,New York,German,633,5119,6,Outdoor Adventurers,2021-04-24
2305,NexGen Systems,Influencer,Men 18-24,30 days,Google Ads,0.05,"$5,564.00",7.25,Houston,Spanish,662,7544,5,Fashionistas,2021-04-25
2306,NexGen Systems,Influencer,Men 25-34,30 days,Google Ads,0.12,"$13,100.00",5.35,Chicago,Spanish,262,7322,6,Fashionistas,2021-04-26
2307,Innovate Industries,Search,Men 18-24,45 days,Email,0.14,"$12,068.00",2.82,Houston,German,533,5078,5,Outdoor Adventurers,2021-04-27
2308,TechCorp,Influencer,Men 18-24,30 days,Facebook,0.09,"$12,142.00",3.51,Houston,Mandarin,698,3263,6,Health & Wellness,2021-04-28
2309,Alpha Innovations,Search,Men 25-34,15 days,Website,0.06,"$6,222.00",2.76,New York,Mandarin,750,7076,6,Foodies,2021-04-29
2310,DataTech Solutions,Influencer,Women 25-34,15 days,Email,0.07,"$18,362.00",2.28,Chicago,German,909,9062,4,Health & Wellness,2021-04-30
2311,Innovate Industries,Email,Women 25-34,30 days,Email,0.04,"$10,264.00",3.58,Miami,Mandarin,550,4759,4,Tech Enthusiasts,2021-05-01
2312,DataTech Solutions,Email,Women 25-34,60 days,Instagram,0.15,"$13,470.00",5.86,Houston,French,141,2487,4,Tech Enthusiasts,2021-05-02
2313,Innovate Industries,Email,Women 25-34,60 days,Facebook,0.05,"$19,834.00",4.56,New York,English,815,3412,9,Outdoor Adventurers,2021-05-03
2314,DataTech Solutions,Display,Men 25-34,45 days,Facebook,0.15,"$8,185.00",4.57,New York,English,461,4216,3,Foodies,2021-05-04
2315,Innovate Industries,Display,Men 18-24,45 days,YouTube,0.13,"$11,728.00",7.5,Miami,Spanish,774,2423,6,Health & Wellness,2021-05-05
2316,NexGen Systems,Influencer,Women 35-44,45 days,Email,0.15,"$17,745.00",7.72,Los Angeles,German,330,4118,5,Fashionistas,2021-05-06
2317,DataTech Solutions,Influencer,All Ages,45 days,Email,0.12,"$14,807.00",3.58,New York,Mandarin,756,1655,9,Foodies,2021-05-07
2318,TechCorp,Email,Women 25-34,60 days,Website,0.08,"$5,556.00",5.66,Chicago,German,531,3410,1,Foodies,2021-05-08
2319,TechCorp,Search,Men 25-34,60 days,Instagram,0.03,"$12,009.00",6.95,New York,English,265,9940,3,Foodies,2021-05-09
2320,TechCorp,Display,Men 18-24,60 days,Website,0.01,"$11,925.00",6.92,New York,Spanish,854,2980,8,Outdoor Adventurers,2021-05-10
2321,Alpha Innovations,Influencer,Men 18-24,30 days,Facebook,0.04,"$18,835.00",7.05,Chicago,English,488,1101,7,Foodies,2021-05-11
2322,TechCorp,Influencer,Women 35-44,60 days,Website,0.09,"$14,141.00",7.42,Chicago,Spanish,863,5569,3,Tech Enthusiasts,2021-05-12
2323,NexGen Systems,Search,Men 25-34,45 days,Instagram,0.03,"$18,496.00",2.52,Los Angeles,Spanish,219,3342,1,Fashionistas,2021-05-13
2324,DataTech Solutions,Display,All Ages,45 days,YouTube,0.09,"$12,051.00",5.72,Miami,English,247,3788,1,Tech Enthusiasts,2021-05-14
2325,Innovate Industries,Social Media,Women 25-34,15 days,Website,0.02,"$12,952.00",4.77,Houston,French,503,6123,10,Health & Wellness,2021-05-15
2326,Alpha Innovations,Email,Men 18-24,45 days,Instagram,0.01,"$17,515.00",2.87,Miami,Mandarin,137,9382,7,Outdoor Adventurers,2021-05-16
2327,Innovate Industries,Search,Men 25-34,30 days,Email,0.1,"$9,056.00",4.53,New York,Mandarin,198,1859,9,Tech Enthusiasts,2021-05-17
2328,Innovate Industries,Influencer,Men 18-24,45 days,Facebook,0.14,"$15,346.00",6.63,Chicago,Spanish,144,5868,5,Tech Enthusiasts,2021-05-18
2329,DataTech Solutions,Influencer,Women 35-44,60 days,Instagram,0.01,"$5,705.00",3.07,Miami,Spanish,394,1777,9,Fashionistas,2021-05-19
2330,NexGen Systems,Search,All Ages,15 days,Website,0.11,"$17,273.00",6.36,New York,Mandarin,591,5782,6,Fashionistas,2021-05-20
2331,TechCorp,Social Media,Men 18-24,15 days,YouTube,0.11,"$8,913.00",6.05,New York,English,584,1416,7,Foodies,2021-05-21
2332,DataTech Solutions,Influencer,All Ages,60 days,Facebook,0.02,"$15,554.00",6.71,Los Angeles,Spanish,232,7129,10,Foodies,2021-05-22
2333,NexGen Systems,Search,Men 25-34,30 days,Website,0.06,"$9,573.00",7.65,Los Angeles,German,210,4510,2,Health & Wellness,2021-05-23
2334,Innovate Industries,Search,All Ages,60 days,YouTube,0.07,"$10,257.00",6.16,Houston,English,786,2647,7,Fashionistas,2021-05-24
2335,TechCorp,Social Media,Men 25-34,45 days,Website,0.08,"$6,177.00",5.71,Chicago,Mandarin,679,7291,5,Tech Enthusiasts,2021-05-25
2336,Innovate Industries,Display,Women 25-34,15 days,YouTube,0.05,"$7,625.00",4.0,Chicago,English,120,7429,8,Tech Enthusiasts,2021-05-26
2337,Innovate Industries,Email,Women 25-34,30 days,Google Ads,0.13,"$12,360.00",4.22,Los Angeles,Mandarin,833,9366,2,Fashionistas,2021-05-27
2338,TechCorp,Search,Men 25-34,45 days,Email,0.14,"$11,636.00",6.59,Chicago,Mandarin,319,8320,3,Fashionistas,2021-05-28
2339,TechCorp,Influencer,Women 35-44,45 days,Website,0.12,"$14,417.00",7.28,New York,Spanish,992,2661,6,Tech Enthusiasts,2021-05-29
2340,TechCorp,Search,Men 18-24,30 days,Website,0.14,"$11,249.00",7.47,Los Angeles,Mandarin,357,6718,9,Tech Enthusiasts,2021-05-30
2341,Innovate Industries,Social Media,Men 18-24,45 days,Facebook,0.07,"$9,975.00",7.31,Los Angeles,English,694,6691,10,Health & Wellness,2021-05-31
2342,NexGen Systems,Email,Women 25-34,60 days,Website,0.04,"$19,131.00",5.02,Chicago,Spanish,309,4863,1,Foodies,2021-06-01
2343,DataTech Solutions,Influencer,Men 18-24,15 days,Website,0.03,"$8,674.00",5.47,Miami,Spanish,303,2248,2,Fashionistas,2021-06-02
2344,DataTech Solutions,Search,Women 35-44,15 days,Facebook,0.13,"$6,480.00",4.6,Houston,Spanish,378,8755,2,Foodies,2021-06-03
2345,DataTech Solutions,Search,Women 25-34,60 days,Website,0.14,"$7,694.00",5.78,New York,English,217,2541,7,Health & Wellness,2021-06-04
2346,DataTech Solutions,Email,Women 25-34,15 days,Email,0.07,"$14,700.00",3.79,Los Angeles,German,358,4353,7,Foodies,2021-06-05
2347,NexGen Systems,Influencer,Men 18-24,45 days,Website,0.02,"$17,991.00",6.95,New York,Mandarin,128,7169,6,Health & Wellness,2021-06-06
2348,Innovate Industries,Search,Men 25-34,45 days,Website,0.03,"$14,680.00",4.3,Miami,Spanish,759,4899,1,Foodies,2021-06-07
2349,NexGen Systems,Email,Women 25-34,60 days,YouTube,0.05,"$9,922.00",2.42,New York,English,811,6475,2,Foodies,2021-06-08
2350,NexGen Systems,Display,Women 25-34,60 days,Facebook,0.08,"$15,690.00",2.7,Houston,German,951,3293,1,Foodies,2021-06-09
2351,DataTech Solutions,Influencer,Women 25-34,15 days,Facebook,0.07,"$11,107.00",2.87,Miami,English,745,4749,8,Tech Enthusiasts,2021-06-10
2352,DataTech Solutions,Email,Men 18-24,45 days,YouTube,0.04,"$19,398.00",4.18,Los Angeles,Spanish,180,6423,9,Health & Wellness,2021-06-11
2353,Innovate Industries,Display,Men 18-24,60 days,YouTube,0.06,"$12,301.00",3.99,Miami,Mandarin,460,3953,9,Foodies,2021-06-12
2354,Alpha Innovations,Search,All Ages,30 days,YouTube,0.14,"$19,314.00",4.32,Miami,English,477,8715,2,Foodies,2021-06-13
2355,TechCorp,Social Media,All Ages,30 days,Facebook,0.14,"$5,225.00",7.67,Houston,Mandarin,806,8343,3,Outdoor Adventurers,2021-06-14
2356,DataTech Solutions,Display,Women 35-44,60 days,Email,0.06,"$10,609.00",6.15,Miami,English,596,7174,1,Foodies,2021-06-15
2357,Innovate Industries,Influencer,Women 25-34,30 days,Facebook,0.08,"$19,632.00",2.59,New York,English,943,8046,10,Outdoor Adventurers,2021-06-16
2358,DataTech Solutions,Influencer,Men 25-34,15 days,Facebook,0.14,"$18,392.00",5.32,Los Angeles,Spanish,531,4575,4,Tech Enthusiasts,2021-06-17
2359,Innovate Industries,Display,Women 35-44,45 days,Instagram,0.11,"$12,012.00",4.97,Chicago,Spanish,509,1852,6,Tech Enthusiasts,2021-06-18
2360,Alpha Innovations,Search,All Ages,45 days,Facebook,0.12,"$13,960.00",6.56,New York,French,311,5035,5,Outdoor Adventurers,2021-06-19
2361,Alpha Innovations,Influencer,Men 18-24,60 days,Facebook,0.04,"$6,436.00",7.76,Houston,Mandarin,843,2343,1,Fashionistas,2021-06-20
2362,TechCorp,Display,All Ages,60 days,Instagram,0.1,"$19,546.00",6.31,Chicago,French,570,7277,1,Tech Enthusiasts,2021-06-21
2363,DataTech Solutions,Social Media,Women 35-44,15 days,Email,0.04,"$13,574.00",7.7,Chicago,German,461,5807,6,Tech Enthusiasts,2021-06-22
2364,DataTech Solutions,Email,Men 18-24,60 days,Email,0.12,"$6,708.00",4.98,Houston,Mandarin,598,8196,8,Health & Wellness,2021-06-23
2365,NexGen Systems,Influencer,Men 18-24,15 days,Website,0.06,"$15,719.00",2.18,Chicago,Mandarin,369,6365,4,Outdoor Adventurers,2021-06-24
2366,Alpha Innovations,Influencer,Women 25-34,15 days,YouTube,0.13,"$8,298.00",3.02,Los Angeles,Mandarin,672,2849,6,Outdoor Adventurers,2021-06-25
2367,TechCorp,Influencer,Women 35-44,45 days,Google Ads,0.06,"$16,507.00",4.21,New York,French,503,3653,9,Fashionistas,2021-06-26
2368,Innovate Industries,Search,Women 35-44,30 days,Instagram,0.05,"$14,509.00",7.43,Chicago,Spanish,182,4632,6,Tech Enthusiasts,2021-06-27
2369,DataTech Solutions,Email,Men 18-24,45 days,Facebook,0.08,"$7,243.00",4.03,Chicago,Mandarin,271,6272,5,Foodies,2021-06-28
2370,NexGen Systems,Social Media,Women 25-34,15 days,Email,0.04,"$15,582.00",7.14,Chicago,Spanish,281,5172,7,Health & Wellness,2021-06-29
2371,TechCorp,Social Media,Men 18-24,15 days,Website,0.11,"$14,398.00",5.85,Houston,English,866,9541,9,Outdoor Adventurers,2021-06-30
2372,DataTech Solutions,Search,Women 35-44,60 days,Website,0.11,"$18,877.00",4.83,New York,German,724,4641,9,Fashionistas,2021-07-01
2373,Innovate Industries,Influencer,Men 18-24,30 days,YouTube,0.03,"$18,371.00",6.3,New York,English,756,7010,9,Health & Wellness,2021-07-02
2374,Innovate Industries,Display,Men 25-34,15 days,Website,0.07,"$7,887.00",6.26,New York,Mandarin,706,1945,4,Fashionistas,2021-07-03
2375,DataTech Solutions,Search,Men 18-24,15 days,Instagram,0.09,"$6,753.00",4.69,Chicago,Mandarin,244,5777,10,Health & Wellness,2021-07-04
2376,Innovate Industries,Influencer,Women 25-34,15 days,Facebook,0.07,"$6,810.00",5.45,Chicago,French,882,7948,9,Outdoor Adventurers,2021-07-05
2377,TechCorp,Influencer,Men 25-34,60 days,Instagram,0.01,"$12,443.00",2.81,Miami,Spanish,601,9674,4,Tech Enthusiasts,2021-07-06
2378,Alpha Innovations,Email,All Ages,60 days,Facebook,0.07,"$16,098.00",7.24,Houston,German,616,1034,1,Outdoor Adventurers,2021-07-07
2379,NexGen Systems,Search,Men 25-34,15 days,Email,0.01,"$8,272.00",3.66,Chicago,French,976,8780,3,Health & Wellness,2021-07-08
2380,Innovate Industries,Social Media,Women 25-34,15 days,Website,0.14,"$5,623.00",3.72,New York,French,541,3475,6,Fashionistas,2021-07-09
2381,Innovate Industries,Social Media,All Ages,60 days,Website,0.1,"$13,216.00",3.89,Miami,Mandarin,365,9899,1,Foodies,2021-07-10
2382,Alpha Innovations,Social Media,Women 35-44,15 days,Facebook,0.02,"$9,728.00",2.67,Chicago,French,394,6758,5,Foodies,2021-07-11
2383,Alpha Innovations,Search,Men 25-34,30 days,Instagram,0.13,"$7,307.00",5.89,Chicago,French,136,6733,5,Health & Wellness,2021-07-12
2384,TechCorp,Email,Men 18-24,30 days,Google Ads,0.04,"$8,749.00",2.33,Houston,Spanish,174,1885,10,Health & Wellness,2021-07-13
2385,TechCorp,Social Media,All Ages,60 days,Instagram,0.15,"$11,053.00",7.9,Miami,Mandarin,994,5916,6,Fashionistas,2021-07-14
2386,NexGen Systems,Search,Men 25-34,30 days,Google Ads,0.08,"$17,072.00",6.75,Chicago,French,271,7755,4,Health & Wellness,2021-07-15
2387,TechCorp,Display,Women 35-44,60 days,Facebook,0.13,"$14,400.00",5.51,Houston,French,661,2916,3,Health & Wellness,2021-07-16
2388,NexGen Systems,Social Media,Men 18-24,60 days,YouTube,0.15,"$15,225.00",6.32,Chicago,English,543,1191,8,Health & Wellness,2021-07-17
2389,DataTech Solutions,Influencer,Men 25-34,45 days,Instagram,0.1,"$8,959.00",7.82,Chicago,English,965,5500,5,Tech Enthusiasts,2021-07-18
2390,DataTech Solutions,Influencer,All Ages,15 days,YouTube,0.01,"$9,557.00",5.79,New York,English,755,6685,5,Tech Enthusiasts,2021-07-19
2391,TechCorp,Email,Women 35-44,60 days,Facebook,0.14,"$8,172.00",4.37,Miami,English,961,1997,5,Fashionistas,2021-07-20
2392,Innovate Industries,Search,Women 35-44,30 days,YouTube,0.12,"$6,163.00",4.92,Houston,Spanish,128,6954,3,Health & Wellness,2021-07-21
2393,TechCorp,Social Media,All Ages,60 days,Google Ads,0.02,"$6,006.00",7.48,New York,German,245,6169,2,Outdoor Adventurers,2021-07-22
2394,Alpha Innovations,Social Media,All Ages,30 days,Facebook,0.05,"$5,160.00",3.61,Chicago,English,174,2197,10,Outdoor Adventurers,2021-07-23
2395,NexGen Systems,Social Media,Men 18-24,60 days,Instagram,0.04,"$18,440.00",4.0,Houston,French,720,5590,7,Foodies,2021-07-24
2396,Innovate Industries,Display,Women 35-44,15 days,Instagram,0.08,"$17,956.00",3.62,Los Angeles,French,640,2893,5,Foodies,2021-07-25
2397,DataTech Solutions,Email,Men 25-34,30 days,Email,0.04,"$13,404.00",2.34,Los Angeles,German,723,8842,8,Health & Wellness,2021-07-26
2398,NexGen Systems,Search,Women 35-44,60 days,Facebook,0.11,"$7,467.00",7.32,Los Angeles,English,315,3114,5,Tech Enthusiasts,2021-07-27
2399,TechCorp,Search,Men 18-24,45 days,Instagram,0.03,"$9,257.00",5.27,Miami,Mandarin,569,7388,8,Foodies,2021-07-28
2400,DataTech Solutions,Email,Women 25-34,45 days,Email,0.04,"$10,316.00",3.97,Miami,French,585,5304,7,Outdoor Adventurers,2021-07-29
2401,DataTech Solutions,Display,Men 25-34,60 days,Website,0.06,"$13,636.00",3.22,Chicago,German,183,3197,8,Health & Wellness,2021-07-30
2402,Innovate Industries,Social Media,All Ages,45 days,Instagram,0.03,"$7,714.00",6.79,Los Angeles,French,142,6774,1,Foodies,2021-07-31
2403,Alpha Innovations,Display,Women 35-44,45 days,Google Ads,0.04,"$18,203.00",3.93,Los Angeles,Mandarin,699,1558,10,Foodies,2021-08-01
2404,TechCorp,Email,Men 25-34,45 days,Email,0.01,"$19,475.00",4.38,Miami,Spanish,883,8152,5,Tech Enthusiasts,2021-08-02
2405,TechCorp,Social Media,Men 25-34,15 days,YouTube,0.02,"$8,969.00",5.28,Los Angeles,Spanish,720,7046,2,Tech Enthusiasts,2021-08-03
2406,DataTech Solutions,Influencer,Men 25-34,30 days,Email,0.13,"$9,084.00",5.04,Miami,German,218,8835,6,Foodies,2021-08-04
2407,NexGen Systems,Search,Men 25-34,45 days,Website,0.02,"$5,319.00",3.31,Los Angeles,German,553,1435,3,Fashionistas,2021-08-05
2408,Alpha Innovations,Social Media,Women 35-44,30 days,Website,0.03,"$13,577.00",4.09,Chicago,English,250,3978,1,Health & Wellness,2021-08-06
2409,DataTech Solutions,Social Media,Women 25-34,15 days,Website,0.04,"$5,156.00",4.1,Houston,Mandarin,504,7390,6,Outdoor Adventurers,2021-08-07
2410,NexGen Systems,Social Media,Women 35-44,60 days,Facebook,0.11,"$10,040.00",2.54,Los Angeles,German,713,9935,1,Health & Wellness,2021-08-08
2411,NexGen Systems,Social Media,All Ages,45 days,Email,0.05,"$12,652.00",6.6,Houston,French,783,1338,1,Fashionistas,2021-08-09
2412,DataTech Solutions,Display,Men 25-34,60 days,Facebook,0.11,"$6,169.00",6.03,New York,Spanish,780,2043,5,Tech Enthusiasts,2021-08-10
2413,NexGen Systems,Email,All Ages,45 days,YouTube,0.14,"$13,128.00",3.82,Houston,English,111,5558,7,Tech Enthusiasts,2021-08-11
2414,DataTech Solutions,Search,Women 35-44,45 days,Google Ads,0.08,"$6,131.00",7.34,New York,French,139,5239,10,Outdoor Adventurers,2021-08-12
2415,TechCorp,Email,Men 25-34,45 days,YouTube,0.13,"$12,471.00",2.46,Miami,German,498,5428,3,Health & Wellness,2021-08-13
2416,TechCorp,Email,Men 18-24,60 days,YouTube,0.07,"$9,654.00",7.54,Los Angeles,English,755,1284,2,Fashionistas,2021-08-14
2417,DataTech Solutions,Social Media,Men 25-34,45 days,Instagram,0.13,"$12,046.00",7.55,New York,Spanish,124,1334,10,Foodies,2021-08-15
2418,DataTech Solutions,Display,Men 18-24,45 days,Facebook,0.04,"$14,372.00",5.01,Houston,Mandarin,100,7364,10,Foodies,2021-08-16
2419,DataTech Solutions,Influencer,Men 25-34,30 days,Email,0.11,"$11,447.00",5.99,Chicago,Mandarin,840,9392,4,Outdoor Adventurers,2021-08-17
2420,TechCorp,Social Media,Men 25-34,45 days,Website,0.06,"$13,682.00",2.81,Miami,Mandarin,851,1092,9,Fashionistas,2021-08-18
